Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-12-17T11:24:30.419Z","Included","auto","No","0","12639","45184","5013","62836","0.06"
"2025-12-17T11:20:17.119Z","Included","auto","No","0","5386","14464","3167","23017","0.03"
"2025-12-17T10:08:02.697Z","Included","auto","No","0","3963","323328","2969","330260","0.10"
"2025-12-17T09:58:13.391Z","Included","auto","No","0","20078","31232","693","52003","0.04"
"2025-12-17T09:50:05.737Z","Included","auto","No","0","62675","340480","8191","411346","0.21"
"2025-12-17T09:41:31.386Z","Included","auto","No","0","18500","101248","2986","122734","0.07"
"2025-12-17T09:35:53.757Z","Included","auto","No","0","15786","71936","2606","90328","0.05"
"2025-12-17T09:30:16.474Z","Included","auto","No","0","53206","531840","2060","587106","0.21"
"2025-12-17T09:26:16.909Z","Included","auto","No","0","18594","446464","1015","466073","0.14"
"2025-12-17T09:23:59.778Z","Included","auto","No","0","1580","217728","203","219511","0.06"
"2025-12-17T09:17:09.827Z","Included","auto","No","0","32102","185856","1079","219037","0.09"
"2025-12-17T09:14:25.201Z","Included","auto","No","0","13598","304512","873","318983","0.10"
"2025-12-17T09:12:30.183Z","Included","auto","No","0","14029","189440","793","204262","0.07"
"2025-12-17T09:10:21.865Z","Included","auto","No","0","102494","193536","914","296944","0.18"
"2025-12-17T09:05:11.980Z","Included","auto","No","0","50899","407680","2424","461003","0.18"
"2025-12-17T09:02:24.407Z","Included","auto","No","0","73560","248192","1262","323014","0.16"
"2025-12-17T08:58:56.009Z","Included","auto","No","0","5929","269440","3299","278668","0.09"
"2025-12-17T08:55:04.678Z","Included","auto","No","0","55173","9728","603","65504","0.08"
"2025-12-17T08:39:56.797Z","Included","auto","No","0","153311","1909120","13809","2076240","0.75"
"2025-12-17T08:29:05.591Z","Included","auto","No","0","11796","405632","1767","419195","0.13"
"2025-12-17T08:27:07.764Z","Included","auto","No","0","26927","295424","2369","324720","0.12"
"2025-12-17T08:20:13.688Z","Included","auto","No","0","27307","422400","4375","454082","0.17"
"2025-12-17T08:14:51.335Z","Included","auto","No","0","28443","180480","6954","215877","0.12"
"2025-12-17T08:02:23.807Z","Included","auto","No","0","19125","93824","610","113559","0.05"
